t,ax,ay,az,gx,gy,gz
0.000000,-0.047525957,0.048197314,9.895379066,-0.002205214,-0.010419860,0.012784418
0.041000,-0.052316912,0.115270719,9.895379066,-0.000074687,-0.000832488,0.019175999
0.061000,-0.061898828,0.062570184,9.885796547,-0.000074687,-0.000832488,0.019175999
0.081000,0.077038929,0.014660615,9.900169373,-0.001139950,-0.009354596,0.023437053
0.102000,-0.023571171,0.057779230,9.895379066,-0.000074687,-0.005093542,-0.024499808
0.141000,-0.100226484,0.110479757,9.895379066,-0.000074687,-0.000832488,-0.040478759
0.162000,0.033920314,0.052988268,9.890587807,-0.000074687,0.000232776,-0.014912436
0.182000,-0.013989257,0.081734017,9.900169373,-0.000074687,0.000232776,-0.014912436
0.202000,-0.176881790,0.086524971,9.890587807,-0.000074687,0.000232776,-0.013847172
0.241000,-0.009198301,0.086524971,9.900169373,0.000990577,0.010885411,0.021306526
0.265000,-0.105017439,0.100897849,9.909751892,0.005251631,0.039647527,0.012784418
0.284000,-0.047525957,0.158389330,9.895379066,0.005251631,0.039647527,0.012784418
0.322000,-0.023571171,0.043406360,9.876214981,0.002055840,0.016211728,0.005327572
0.342000,-0.042734999,0.110479757,9.885796547,0.002055840,0.016211728,0.005327572
0.364000,-0.037944041,0.005078699,9.914543152,-0.000074687,-0.000832488,0.020241261
0.385000,-0.066689789,0.067361146,9.881006241,-0.000074687,-0.007224069,0.051133905
0.422000,-0.061898828,0.139225498,9.895379066,-0.001139950,-0.010419860,0.015980206
0.442000,-0.085853614,0.167971238,9.885796547,-0.002205214,-0.015746178,0.003197045
0.463000,-0.057107870,0.019451573,9.895379066,-0.002205214,-0.015746178,0.003197045
0.484000,-0.066689789,0.072152101,9.885796547,-0.003270477,-0.023203023,-0.025565069
0.503000,-0.181672752,0.148807406,9.909751892,-0.003270477,-0.023203023,-0.025565069
0.542000,0.062666059,0.091315925,9.890587807,0.000990577,0.007689620,0.009588625
0.566000,-0.100226484,0.096106887,9.895379066,0.000990577,0.008754884,0.010653891
0.605000,-0.018780213,0.081734017,9.895379066,-0.000074687,0.001298039,-0.034087177
