t,ax,ay,az,gx,gy,gz
0.000000,-4.196495056,3.737234116,8.462882996,0.000841390,-0.000218572,0.000062875
0.046000,-4.033602238,3.516850471,8.161052704,0.021306615,-0.534630120,-0.196571633
0.070000,-4.268359184,3.306047916,8.189798355,0.025567669,-0.746617556,-0.084718980
0.090000,-3.899455547,3.291675091,8.352690697,0.025567669,-0.746617556,-0.084718980
0.115000,-3.611998081,3.555177689,8.438927650,-0.038348146,-0.695484877,-0.001628416
0.152000,-3.525760889,3.392285347,7.907131672,-0.046870254,-0.903211296,-0.145438984
0.192000,-3.142484426,3.473731518,7.686747551,-0.181093469,-1.331447244,-0.028260004
0.211000,-2.514868975,3.392285347,8.338317871,-0.181093469,-1.331447244,-0.028260004
0.232000,-2.222620487,3.028172493,9.540847778,-0.384558767,-1.338904142,-0.179527417
0.251000,-2.150756121,2.702387333,10.446338654,-0.384558767,-1.338904142,-0.179527417
0.291000,-2.490914106,2.927562714,9.689367294,-0.186419785,-0.555935383,-0.156091630
0.312000,-2.351976395,2.999426842,9.090497971,-0.050066043,-0.441952169,-0.046369482
0.332000,-2.232202530,3.009008884,8.620984077,-0.050066043,-0.441952169,-0.046369482
0.352000,-1.978281617,3.195856094,9.056961060,-0.135287136,-0.794554412,0.030329492
0.392000,-1.144655108,3.095245838,9.742068291,0.035155039,-0.587893248,-0.100697927
0.411000,-1.456067324,3.028172493,9.277345657,0.035155039,-0.587893248,-0.100697927
0.431000,-1.690824270,3.085664272,8.975515366,0.078830846,-0.466453224,-0.137982145
0.452000,-1.551886439,3.315629959,8.850950241,0.027698196,-0.479236394,-0.059152644
0.472000,-1.197355628,3.665369987,9.056961060,-0.072436579,-0.506933272,0.022872649
0.513000,-0.617649853,3.617460251,10.388847351,-0.200268209,-0.677375436,-0.126264244
0.534000,-0.584113121,3.181483269,10.192418098,-0.066044994,-0.356731087,-0.365948528
0.574000,-1.163818955,3.009008884,9.603130341,-0.047935516,-0.347143710,-0.310554832
0.614000,-0.689514160,3.152737617,10.249909401,0.084157161,-0.631569088,-0.087914765
0.634000,-0.311028600,3.238974571,10.240327835,0.113984540,-0.241682634,-0.300967455
0.654000,-0.301446706,2.874862194,9.770813942,0.113984540,-0.241682634,-0.300967455
0.674000,-0.885943413,2.673641682,9.512102127,0.024502406,-0.021173075,-0.435190678
0.694000,-1.388993979,2.735924244,9.468983650,-0.044739723,0.001197459,-0.435190678
0.734000,-1.091954589,3.047336578,9.401909828,-0.111851327,-0.389754266,-0.195506379
0.754000,-0.814079046,2.941935539,9.627085686,-0.269510329,-0.346078455,-0.044238955
0.774000,-0.871570528,2.870070934,9.674994469,-0.350470334,-0.186288923,0.026068438
0.795000,-1.067999840,2.779042721,9.861842155,-0.388819844,-0.136221543,-0.023998950
0.834000,-0.962598741,2.429303169,10.479875565,-0.365384042,-0.167114183,-0.027194738
0.859000,-0.871570528,2.558658600,10.154090881,-0.259922951,0.327168107,0.159226373
0.896000,-1.149446011,3.004217625,9.358791351,-0.220508218,0.304797560,0.152834803
0.933000,-0.876361489,2.505958080,10.072644234,-0.260988206,-0.079762571,0.076135814
0.954000,-0.823660970,2.113100052,10.005570412,-0.219442949,0.104528025,0.152834803
0.974000,-0.847615778,1.916670561,9.617503166,-0.219442949,0.104528025,0.152834803
0.994000,-0.770960450,1.940625310,9.315672874,-0.071371309,0.174835414,0.216750607
1.014000,-0.751796603,2.036444664,8.975515366,0.100136116,0.190814361,0.266817987
1.034000,-0.713468969,2.093935966,8.937187195,0.251403540,0.137551188,0.290253788
1.055000,-0.737423778,2.122681618,8.932396889,0.358995169,0.076831169,0.283862203
1.075000,-0.756587565,2.223291874,8.688057899,0.428237289,0.159921721,0.284927487
1.095000,-0.684723258,2.390975475,8.506001472,0.376039386,0.082157485,0.323276967
1.115000,-0.579322159,2.606568336,8.410181999,0.325971991,-0.046739399,0.346712768
1.135000,-0.493084967,2.716760635,8.352690697,0.325971991,-0.046739399,0.346712768
1.155000,-0.459548265,2.860488892,8.386227608,0.306797236,-0.053130977,0.323276967
1.175000,-0.464339226,3.023381710,8.472464561,0.267382503,0.002262722,0.252969563
1.195000,-0.560158372,2.985054016,8.472464561,0.162986651,0.055525899,0.170944273
1.215000,-0.603276968,2.697596550,8.501210213,-0.012781818,-0.000933068,0.115550570
1.236000,-0.545785487,2.491585255,8.625775337,-0.196007147,-0.109589942,0.132594794
1.255000,-0.617649853,2.443675995,8.783876419,-0.281228215,-0.178832084,0.192249551
1.276000,-0.814079046,2.395766258,8.999469757,-0.259922951,-0.066979408,0.195445344
1.316000,-1.120700359,2.362229824,9.459402084,-0.301468223,-0.043543607,0.156030595
1.336000,-0.885943413,2.252037525,9.646248817,-0.347274572,-0.182027876,0.276405364
1.357000,-0.502666891,2.333483696,9.957661629,-0.389885098,-0.244878426,0.392519087
1.376000,-0.243955195,2.501167297,10.398428917,-0.445278794,-0.201202616,0.457500160
1.396000,-0.081062660,2.434093952,10.724214554,-0.516651452,-0.068044670,0.462826490
1.416000,-0.037944041,2.060399055,10.604440689,-0.585893571,0.106658548,0.409563303
1.438000,-0.306237638,1.725032330,10.278655052,-0.628504097,0.267513335,0.334994853
1.458000,-0.521830678,1.629213095,10.096598625,-0.618916750,0.283492297,0.310493797
1.496000,-0.301446706,1.624422193,9.818723679,-0.329165071,0.204662785,0.398910671
1.517000,-0.172090843,1.691495538,9.665412903,-0.113981850,0.197205946,0.407432765
1.558000,-0.109808400,1.873551965,9.454610825,0.194944561,0.049134322,0.292384326
1.577000,-0.066689789,1.873551965,9.387537003,0.279100388,-0.032890975,0.230599031
