t,ax,ay,az,gx,gy,gz
0.000000,0.005174574,0.033824444,9.881006241,0.006200565,0.037389576,0.056608513
0.021000,-0.013989257,0.052988268,9.885796547,-0.000191017,0.000105351,0.186570659
0.060000,-0.224791363,0.297327071,9.924124718,0.001939510,0.007562195,0.136503264
0.102000,0.062666059,-0.038039915,9.881006241,0.003004774,0.025671676,-0.323690563
0.124000,-0.205627531,-0.105113313,9.904960632,-0.000191017,0.004366404,-0.226751596
0.161000,-0.124181271,0.182344109,9.890587807,-0.000191017,0.009692722,0.088566415
0.181000,0.033920314,0.153598368,9.895379066,-0.000191017,0.009692722,0.088566415
0.202000,0.048293184,0.110479757,9.890587807,-0.000191017,0.005431668,0.027846396
0.242000,0.024338398,0.096106887,9.919333458,-0.000191017,0.008627458,0.021454815
0.281000,0.019547444,-0.009294171,9.948079109,-0.001256280,0.009692722,0.008671653
0.304000,-0.157717973,0.029033486,10.293027878,-0.001256280,0.009692722,0.008671653
0.324000,-0.526621640,-0.119486183,10.297819138,0.141489029,-0.059549406,-0.037134681
0.362000,0.029129360,0.225462735,10.010361671,0.131901652,-0.024395712,-0.185206309
0.406000,0.680699527,0.182344109,10.120553970,0.246950120,-0.264080018,-0.176684216
0.443000,1.447252631,-0.076367572,10.316983223,0.382238567,-0.110682055,-0.020090463
0.483000,1.131049514,0.862659991,11.323083878,0.442958593,-0.340778977,0.070456937
0.502000,0.733400047,0.618321180,11.620123863,0.402478576,-0.267275810,-0.135138929
0.525000,0.575298488,0.599157393,12.185456276,0.223514318,-0.389781117,-0.347126365
0.563000,0.901083589,1.159699321,13.105319977,-0.005517334,-0.329061091,-0.402520061
0.582000,0.891501665,1.044716358,13.488596916,-0.234549001,-0.116008371,-0.319429517
0.604000,1.145422339,0.891405761,13.665862083,-0.506191134,-0.091507308,-0.232077911
0.624000,1.523908019,1.073462129,14.029974937,-0.520039558,-0.114943109,-0.257644206
0.664000,1.250823379,0.920151532,14.264731407,-0.291007966,-0.662488520,-0.148987353
0.684000,1.255614400,0.742886066,13.972483635,-0.291007966,-0.662488520,-0.148987353
0.704000,0.810055375,0.445846766,13.402359009,0.123379551,-0.871280193,-0.219294742
0.726000,0.307004869,0.417100996,12.865772247,0.338562787,-1.001242399,-0.241665289
0.746000,-0.057107870,0.565620661,12.333975792,0.338562787,-1.001242399,-0.241665289
0.785000,-0.277491897,0.373982400,11.145818710,0.683708191,-0.852105439,-0.281080008
0.805000,0.220767632,0.350027621,10.594858170,0.826453507,-0.612421155,-0.292797923
0.825000,0.345332503,0.187135071,9.957661629,0.940436721,-0.341844261,-0.350322157
0.846000,0.374078244,0.498547256,9.191107750,1.001156688,-0.143705219,-0.375888467
0.885000,0.536970854,0.532083988,7.356171608,0.962807238,-0.104290470,-0.207576856
0.905000,0.493852168,0.723722279,6.484217644,0.867998838,-0.150096804,-0.228882119
0.927000,0.532179892,0.877032876,5.578726768,0.746558785,-0.167141020,-0.238469496
0.965000,0.690281451,1.159699321,4.486388206,0.568659782,-0.151162073,-0.205446318
0.985000,0.781309664,1.634004116,3.978547096,0.487699658,-0.120269425,-0.190532640
1.006000,1.097512841,1.763359904,3.590479374,0.356672257,-0.082985200,-0.136204198
1.026000,1.432879806,1.863970041,3.571315527,0.205404833,-0.052092560,-0.082941011
1.046000,1.586190462,1.729823232,3.614434242,0.090356387,-0.038244136,-0.064831533
1.066000,1.629309058,1.878342867,3.422795773,-0.089673154,0.138589606,-0.032873627
1.106000,1.298732996,1.840015292,3.638388872,-0.384751141,0.090652749,0.022520080
1.127000,1.365806460,1.471111536,3.925846338,-0.539214313,0.179069623,0.083240099
1.148000,1.269987226,1.054298282,4.572625637,-0.539214313,0.179069623,0.083240099
