t,ax,ay,az,gx,gy,gz
0.000000,-0.076271698,0.052988268,9.914543152,-0.000625857,0.000019339,0.000039966
0.020000,-0.066689789,0.052988268,9.909751892,-0.000629543,0.000024631,0.000038986
0.041000,-0.061898828,0.043406360,9.895379066,-0.000632768,0.000029323,0.000038216
0.061000,-0.066689789,0.067361146,9.895379066,-0.000634945,0.000033444,0.000037636
0.082000,-0.085853614,0.062570184,9.909751892,0.000429666,0.000037027,0.000037222
0.122000,-0.071480744,0.043406360,9.900169373,-0.000632393,0.000042570,0.000036807
0.162000,-0.071480744,0.057779230,9.904960632,-0.000624127,0.000044873,0.000036823
0.202000,-0.076271698,0.052988268,9.904960632,0.000455074,0.001109377,0.000037138
0.222000,-0.061898828,0.043406360,9.890587807,-0.000601703,0.000042738,-0.001027889
0.242000,-0.066689789,0.057779230,9.904960632,0.000472280,0.000040352,-0.001027462
0.282000,-0.081062660,0.043406360,9.900169373,0.000498838,0.000025087,0.000043785
0.323000,-0.066689789,0.057779230,9.890587807,-0.000551184,0.000005816,0.000051694
0.363000,-0.076271698,0.043406360,9.885796547,0.000526184,0.001046732,0.000061265
0.402000,-0.076271698,0.067361146,9.909751892,0.000531734,-0.000031326,0.000066351
0.444000,-0.076271698,0.038615398,9.904960632,0.000541545,-0.000057988,0.000076619
0.483000,-0.076271698,0.067361146,9.904960632,0.000550667,-0.000084884,0.000086375
0.502000,-0.066689789,0.052988268,9.895379066,0.000554989,0.000967331,0.000090468
0.524000,-0.071480744,0.038615398,9.895379066,0.000558594,-0.000110678,0.000093820
0.565000,-0.066689789,0.057779230,9.871423721,0.000560859,-0.000147944,0.000100137
0.604000,-0.081062660,0.052988268,9.881006241,-0.000506907,0.000905565,0.000101219
0.644000,-0.071480744,0.052988268,9.904960632,-0.000516275,-0.000181557,0.000102219
0.685000,-0.061898828,0.043406360,9.904960632,0.000525515,-0.000209364,0.000101589
0.705000,-0.076271698,0.052988268,9.909751892,-0.000549184,-0.000217047,0.000100991
0.744000,-0.076271698,0.057779230,9.904960632,-0.000568997,-0.000228893,0.000098539
0.766000,-0.071480744,0.048197314,9.895379066,-0.000568997,-0.000228893,0.000098539
0.785000,-0.071480744,0.043406360,9.904960632,0.000477306,-0.000235465,0.000092402
0.805000,-0.066689789,0.048197314,9.895379066,0.000477306,-0.000235465,0.000092402
0.826000,-0.081062660,0.072152101,9.904960632,0.000462915,-0.000235177,0.000083211
0.845000,-0.081062660,0.062570184,9.909751892,0.000462915,-0.000235177,0.000083211
0.866000,-0.061898828,0.043406360,9.900169373,0.000457880,-0.000232803,0.000077921
0.885000,-0.061898828,0.052988268,9.895379066,0.000453821,-0.000229298,0.000072364
0.924000,-0.085853614,0.048197314,9.914543152,-0.000621636,-0.000212378,0.000055246
0.947000,-0.061898828,0.057779230,9.900169373,-0.000624369,-0.000204940,0.000049688
0.986000,-0.066689789,0.062570184,9.900169373,-0.000627534,-0.000188703,0.000039177
1.007000,-0.071480744,0.057779230,9.900169373,-0.000627534,-0.000188703,0.000039177
1.047000,-0.081062660,0.048197314,9.900169373,0.000439632,-0.000171102,0.000029733
1.086000,-0.066689789,0.043406360,9.895379066,0.000447728,-0.000152247,0.000021538
1.106000,-0.076271698,0.048197314,9.914543152,0.000447728,-0.000152247,0.000021538
1.127000,-0.076271698,0.057779230,9.881006241,0.000466641,-0.000126319,0.000011692
1.167000,-0.085853614,0.043406360,9.904960632,0.000479842,0.000954936,0.000006699
1.186000,-0.076271698,0.038615398,9.895379066,0.000479842,0.000954936,0.000006699
1.208000,-0.066689789,0.052988268,9.900169373,0.000485122,-0.000103435,0.000004637
1.246000,-0.076271698,0.062570184,9.919333458,0.000494854,-0.000090578,0.000000729
