t_ms,ax,ay,az,gx,gy,gz
0,0.428315,-3.203989,10.738988,-113.500000,14.109375,-5.453125
83,0.428315,-3.203989,10.738988,-113.500000,14.109375,-5.453125
167,0.808774,0.856630,9.786644,-69.921875,-10.312500,-6.015625
250,0.882952,2.560320,8.286345,79.015625,-46.437500,-11.187500
333,0.696311,1.272982,8.346165,162.656250,-64.578125,-11.500000
417,0.325424,-1.536192,9.444471,121.109375,-44.640625,-1.734375
500,0.626920,-2.048256,10.877772,-157.875000,12.250000,-1.187500
583,0.093320,-2.885744,11.219945,-114.515625,46.328125,9.906250
667,0.200997,-1.911865,11.188838,-128.515625,52.453125,-7.718750
750,0.567099,0.258425,10.963913,-40.390625,33.750000,-10.578125
833,1.019342,1.643869,10.880164,81.171875,7.250000,-0.718750
917,1.081556,1.335195,10.786844,135.546875,-22.312500,-0.562500
1000,0.100499,-3.282953,10.533205,-3.765625,4.093750,12.671875
1083,0.722632,0.638884,10.657632,22.468750,19.000000,-6.515625
1167,0.849452,0.165105,10.466206,57.640625,-0.500000,-13.359375
1250,0.526421,-1.653440,10.470992,-8.828125,-22.250000,-24.812500
1333,0.411565,-1.476372,10.080962,-73.125000,2.906250,-17.453125
1417,0.483350,-0.229711,9.492327,-53.000000,7.093750,-4.375000
1500,0.648455,0.323031,9.511470,-10.015625,0.890625,-7.109375
1583,0.650848,0.631705,9.162118,97.984375,-12.875000,-17.828125
1667,0.423530,-0.110070,9.085547,94.562500,-8.000000,-22.046875
1750,0.339781,-1.928615,9.954142,8.046875,4.171875,-17.000000
1833,0.770489,0.696311,9.408578,48.421875,-8.218750,-12.046875
1917,0.671586,0.271984,9.507481,17.057262,-5.677081,-7.947913
2000,0.572682,-0.152343,9.606385,-14.307262,-3.135419,-3.848962
2083,0.473779,-0.576670,9.705288,-45.671875,-0.593750,0.250000
2167,0.540778,0.062213,10.657632,43.375000,16.125000,-11.109375
2250,0.770489,-0.801596,10.478170,-4.296875,5.890625,-2.046875
2333,0.787239,-1.734796,10.212567,-66.218750,-1.656250,1.765625
2417,0.617348,-1.682154,9.934999,-89.281250,-3.562500,-0.718750
2500,0.289532,0.275175,10.640882,50.828125,19.312500,-13.750000
2583,0.674776,1.091127,10.255638,80.578125,-4.968750,-10.734375
2667,0.739382,0.425922,10.908878,63.312500,-6.609375,-18.218750
2750,0.634098,-0.983450,11.322837,63.312500,-6.609375,-18.218750
2833,0.571885,-1.854438,11.313265,10.000000,-2.015625,-9.406250
2917,0.473779,-1.088734,11.047662,-50.109375,18.187500,7.546875
3000,0.502493,-0.110070,10.992627,-26.031250,24.734375,1.500000
3083,0.660419,-0.648455,9.985249,28.750000,-11.562500,10.750000
3167,0.734597,-1.124627,10.135997,-3.921875,-28.406250,11.703125
3250,0.770489,-1.134198,10.140782,-25.296875,-35.625000,9.343750
3333,0.703490,-0.732204,9.946964,-22.125000,-22.046875,7.703125
3417,0.454636,-0.258425,9.734002,-5.593750,8.265625,3.828125
