t_ms,ax,ay,az,gx,gy,gz
0,-0.126820,-2.289931,10.274780,-25.046875,-14.468750,-8.015625
83,-0.126820,-2.289931,10.274780,-25.046875,-14.468750,-8.015625
167,0.023928,-0.457029,9.810573,73.750000,-10.203125,7.109375
250,0.071785,-0.899701,10.179067,64.031250,-14.875000,3.406250
333,0.002393,-1.777867,10.332208,14.328125,-14.296875,-5.156250
417,-0.038285,-1.378266,10.193424,-30.000000,-11.187500,-10.171875
500,0.122034,-1.002593,10.066605,42.312500,-31.062500,-10.453125
583,-0.040678,-1.124627,9.832108,-9.468750,0.093750,-2.312500
667,0.282353,-0.751346,10.128818,30.312500,-17.562500,-10.500000
750,0.033500,-0.870987,10.272387,5.500000,0.750000,-7.890625
833,0.000000,-0.928415,10.049855,-17.734375,-4.781250,-10.125000
917,-0.215354,-1.438086,9.805787,-10.406250,4.250000,4.109375
1000,-0.251246,-1.215554,10.112068,-9.500000,7.671875,-0.531250
1083,0.193819,-0.717847,9.351151,34.843750,2.093750,0.359375
1167,-0.378066,-0.007178,9.671789,43.578125,5.703125,-21.437500
1250,-0.473779,-0.784846,10.301101,50.062500,26.312500,-22.046875
1333,0.287139,-1.749153,10.746166,-5.781250,2.687500,-2.656250
1417,-0.033500,-2.112862,10.356136,20.609375,21.906250,-9.015625
1500,-0.019143,-0.684347,9.801001,43.921875,-7.359375,3.906250
1583,-0.303888,-2.146362,8.523234,-7.500000,15.234375,-1.078125
1667,-0.375673,-1.734796,8.525627,-53.015625,38.031250,-17.890625
1750,-0.081356,-1.081556,8.851051,-67.984375,45.921875,-30.781250
1833,0.239282,-1.038485,8.999406,-53.125000,36.171875,-26.281250
1917,0.284746,-0.519243,10.482956,52.140625,-18.468750,-1.312500
2000,-0.205782,-0.686740,10.631311,17.632862,-22.710931,-12.351547
2083,-0.696311,-0.854238,10.779666,-16.875000,-26.953125,-23.390625
2167,0.095713,-1.359123,9.925428,4.937500,9.968750,11.328125
2250,0.782453,-1.536192,9.138190,-9.375000,-43.593750,6.500000
2333,0.509671,-1.497907,9.389436,-20.890625,-57.218750,-6.468750
2417,-0.646062,-0.653241,11.085947,2.437500,8.031250,-29.859375
2500,-0.220140,-2.153540,9.987642,-39.140625,-3.250000,7.468750
2583,0.279960,-1.457229,10.298708,35.546875,5.828125,3.734375
2667,0.057428,-1.931008,10.236495,10.234375,-2.500000,12.750000
2750,-0.019143,-2.081756,9.712467,-68.687500,-6.984375,-2.062500
2833,0.145962,-1.328017,9.059226,-50.484375,-15.687500,-7.359375
2917,0.191426,-0.411565,8.800802,0.312500,-13.781250,-12.171875
3000,-0.098106,-0.916451,10.695917,26.437500,17.015625,-17.125000
3083,-0.401994,-2.390430,9.762716,116.093750,4.578125,-18.375000
3167,0.227318,0.832702,10.612168,-122.515625,-28.859375,9.453125
3250,0.011964,2.225325,10.906485,29.312500,-37.796875,0.125000
3333,-0.311067,0.375673,10.743773,129.484375,-22.453125,-18.109375
3417,-0.390030,-3.208775,9.430114,-28.625000,43.593750,3.000000
3500,-0.514457,-0.995414,10.502098,4.750000,7.218750,-9.453125
3583,0.279960,-1.363909,9.367900,-27.953125,-15.031250,3.875000
3667,-0.291924,-2.450250,9.564112,-49.015625,27.593750,3.234375
3750,-0.801596,-1.251446,10.987841,8.078125,52.156250,1.062500
3833,-0.581456,-1.383051,10.767702,10.609375,55.078125,9.937500
3917,0.260818,-0.732204,9.734002,4.000000,-39.687500,-9.125000
4000,0.698704,-0.751346,9.257831,-3.343750,-48.875000,-0.250000
4083,0.167498,-2.048256,9.944571,-202.000000,-5.312500,2.328125
4167,0.014357,0.981057,8.571091,229.171875,-9.125000,15.656250
4250,-0.122034,-1.715654,9.427721,171.312500,-8.203125,1.078125
4333,-0.033500,-5.132604,9.858429,-181.593750,-3.515625,-24.234375
4417,-0.081356,-4.412365,9.698110,-7.390625,-6.437500,-16.046875
4500,0.114855,1.012164,9.308080,124.687500,15.187500,-0.156250
4583,-0.090927,-2.115255,8.669196,141.828125,6.625000,-3.421875
4667,-0.124427,-4.000799,8.310273,-8.062500,16.718750,-6.734375
4750,0.047856,-3.986442,9.047262,-150.859375,14.781250,-4.796875
4833,-0.045464,2.143969,10.506884,-65.562500,19.312500,-10.687500
4917,-0.169890,-3.055634,10.624132,-207.734375,7.875000,-20.703125
5000,-0.211765,-1.854437,10.313065,-105.101562,4.906250,-6.851562
5083,-0.253639,-0.653241,10.001998,-2.468750,1.937500,7.000000
5167,0.184247,-1.995614,9.492327,-48.218750,-10.140625,-6.390625
5250,0.220140,-2.835495,9.997213,-109.640625,-19.984375,-4.000000
5333,0.028714,-2.433501,10.119247,-94.281250,-13.515625,4.218750
5417,-0.263210,1.004985,9.779466,105.406250,6.750000,7.156250
5500,0.098106,-2.395215,10.638489,52.796875,-8.515625,-14.296875
5583,-0.212961,-4.197011,10.872986,-96.640625,-3.015625,-26.390625
5667,-0.239282,-3.799802,10.583454,-189.328125,6.859375,-26.453125
5750,-0.059821,-1.521835,9.614361,-157.656250,12.531250,-15.421875
5833,0.136391,0.835095,8.453842,-22.984375,8.875000,1.515625
5917,-0.004786,0.894916,9.839287,139.125000,-1.984375,0.906250
6000,0.191426,1.983650,7.956135,141.328125,-2.171875,15.687500
6083,0.189033,0.038285,8.752945,-104.765625,-15.953125,0.468750
6167,-0.129212,0.557528,8.951549,-21.328125,-9.187500,3.500000
6250,-0.282353,-0.217747,9.164511,32.656250,7.937500,1.156250
6333,-0.253639,-0.705883,9.250652,46.578125,15.546875,1.203125
6417,0.114855,-1.689333,9.741181,34.171875,5.843750,4.375000
6500,0.299103,-2.091327,10.128818,0.156250,-14.656250,3.953125
6583,0.148355,-1.978864,10.664810,-38.937500,-29.390625,-2.312500
6667,-0.050249,-1.543371,10.949556,-45.171875,-22.625000,-12.187500
6750,-0.488136,-0.222533,10.827522,-6.656250,3.531250,-17.656250
6833,-0.299103,-0.497707,9.839287,42.656250,28.703125,-7.093750
6917,0.016750,-1.064806,8.843872,73.796875,22.750000,19.171875
7000,0.086142,-1.284946,8.884550,31.218750,6.625000,6.109375
7083,-0.191426,-0.818345,10.401600,90.625000,20.890625,-2.531250
7167,-0.540778,-3.558127,11.069197,-52.781250,45.843750,6.390625
7250,-0.468993,-4.622933,10.834701,-169.968750,40.484375,0.453125
7333,-0.069392,-3.445665,9.944571,-178.265625,2.593750,-4.265625
7417,0.425922,-1.074377,8.982656,-178.265625,2.593750,-4.265625
7500,0.332602,1.464407,9.138190,160.406250,-10.531250,-9.484375
7583,-0.105284,2.141576,9.595219,86.765625,-52.343750,-2.328125
7667,-0.581456,0.500100,10.715060,199.234375,-25.484375,-11.859375
7750,-0.509671,-2.799602,10.930414,181.546875,12.281250,-5.390625
7833,-0.203390,-4.658826,10.260423,45.937500,30.359375,2.937500
7917,0.114855,-3.962514,9.561719,-97.359375,20.968750,-0.171875
8000,0.284746,-1.811367,8.999406,-151.453125,-2.281250,-3.750000
8083,-0.435494,-1.241875,10.133604,-92.125000,-31.171875,-15.343750
8167,-0.770489,-0.550349,10.325030,-75.578125,20.046875,-21.156250
8250,-0.571885,-0.069392,9.745966,-25.750000,57.890625,-23.109375
8333,0.174676,-0.031107,8.901300,45.140625,47.359375,-11.062500
8417,0.145962,-2.012364,9.516255,-69.953125,-52.281250,-9.125000
8500,0.413958,-1.215554,9.298509,127.890625,-45.000000,-3.453125
8583,-0.239282,-2.785246,10.011570,67.046875,-47.109375,-14.390625
8667,-0.454636,-3.905086,10.119247,-133.531250,12.500000,6.671875
8750,-0.413958,-3.127419,9.702896,-129.359375,22.812500,9.109375
8833,-0.217747,-0.815953,9.286545,-24.531250,6.062500,3.500000
8917,0.236889,1.373480,8.774480,108.750000,-17.125000,-3.843750
9000,0.772882,-0.325424,8.681160,111.484375,-2.015625,2.703125
9083,0.232104,-1.335195,9.284152,20.781250,-0.140625,1.328125
9167,0.165105,-1.691726,8.925228,-9.171875,-10.000000,1.953125
9250,-0.002393,-1.887937,8.985049,-31.421875,-9.156250,8.531250
9333,-0.196211,-1.380659,9.339187,-32.093750,-1.765625,9.843750
9417,0.057428,-0.945165,9.958928,-13.500000,-0.890625,-0.671875
9500,0.088534,-1.009771,10.526027,10.312500,3.421875,1.312500
9583,-0.210568,-0.607777,11.160125,52.250000,18.218750,6.140625
9667,-0.239282,-1.036092,10.829915,69.265625,26.468750,5.515625
9750,0.234497,-1.995614,9.841679,38.843750,8.093750,1.015625
9833,0.509671,-2.416751,9.186046,-17.734375,-30.468750,-3.171875
9917,-0.179462,-0.882952,9.669396,-21.796875,1.437500,4.484375
10000,-0.221336,-1.214357,10.083355,-23.218750,3.109375,5.625000
10083,-0.263210,-1.545763,10.497313,-24.640625,4.781250,6.765625
10167,-0.071785,-1.485943,10.676774,16.093750,-32.109375,7.109375
10250,-0.366102,-1.804188,10.760523,-36.296875,-1.937500,-2.828125
10333,-0.009571,-1.141376,10.286744,9.750000,9.187500,15.218750
10417,-0.002393,-0.710668,10.377672,51.687500,13.390625,11.828125
10500,0.107677,-0.937986,10.040284,31.078125,28.984375,8.187500
10583,-0.124427,-0.818345,9.561719,68.093750,10.125000,3.171875
10667,0.294317,-2.268396,8.355737,38.203125,-3.781250,-2.953125
10750,0.217747,-2.500500,8.731410,-68.640625,-25.312500,1.859375
10833,-0.248854,-1.488336,10.083354,-56.953125,-4.921875,5.000000
10917,-0.425922,-0.330210,10.963913,-6.671875,21.000000,5.765625
11000,-0.198604,-0.282353,10.269995,51.687500,13.390625,11.828125
11083,-0.028714,-1.866402,9.370293,-16.906250,8.531250,15.375000
11167,0.191426,-2.368894,9.111868,-64.156250,-9.578125,7.093750
11250,0.153141,-1.966900,9.578469,-64.546875,-15.031250,-1.015625
11333,-0.009571,-0.940379,10.135997,-15.015625,-10.781250,-0.578125
11417,-0.076570,-0.169890,10.310673,42.671875,-8.937500,8.968750
11500,0.016750,-1.146162,9.482756,34.281250,-8.859375,13.500000
11583,-0.102891,-1.849652,9.432507,-20.468750,9.828125,3.000000
11667,-0.246461,-2.086541,9.858429,-51.781250,25.937500,2.578125
11750,-0.260818,-1.792224,10.107283,-51.781250,25.937500,2.578125
11833,-0.031107,-1.131805,10.116854,5.375000,-0.312500,22.656250
11917,0.258425,-0.602991,10.147961,29.828125,-26.531250,18.609375
12000,0.301496,-0.847059,10.346565,16.093750,-32.109375,7.109375
12083,-0.665205,0.251246,10.530812,108.203125,42.468750,15.250000
12167,0.306281,-1.545763,10.755738,-44.593750,-31.718750,1.609375
12250,-0.289532,0.648455,11.296515,62.765625,8.515625,2.453125
12333,-0.275175,-1.610370,9.399007,74.093750,49.437500,25.906250
12417,0.337388,-3.206382,9.824930,-121.671875,-47.921875,2.578125
12500,0.423530,-2.507678,8.970692,-56.203125,-14.828125,10.828125
12583,0.514457,-1.713261,9.437292,-60.703125,-43.859375,8.796875
12667,0.023928,-0.624527,10.047462,-15.375000,-37.546875,10.109375
12750,-0.449851,-0.043071,10.380064,40.656250,-5.625000,11.218750
12833,-0.349352,-0.859023,9.982856,38.062500,26.796875,16.703125
12917,-0.471386,-0.382852,10.219745,63.125000,23.234375,13.265625
13000,0.078963,-2.512464,8.889336,1.734375,26.484375,20.234375
13083,-0.150748,-0.600598,10.277173,-18.515625,20.531250,-10.906250
13167,0.464208,0.289532,9.425328,64.578125,-1.406250,-1.515625
13250,0.277567,-0.311067,9.391829,126.031250,-21.593750,6.125000
13333,-0.198604,-1.873580,9.382257,108.453125,-25.296875,4.375000
13417,-0.351745,-3.184847,9.154939,13.703125,-10.640625,-1.531250
13500,-0.229711,-3.349952,9.169296,-95.234375,10.359375,-4.031250
13583,0.000000,-2.143969,9.470792,-138.296875,18.921875,-0.718750
13667,0.186640,-0.064606,9.734002,37.796875,1.781250,9.437500
13750,0.078963,1.148555,9.870393,37.796875,1.781250,9.437500
13833,-0.157926,0.086142,10.202996,107.671875,2.109375,5.640625
13917,-0.244068,-1.988436,10.250852,-11.000000,2.265625,0.140625
14000,0.000000,-3.304488,9.829715,-102.109375,-28.937500,0.375000
14083,-0.267996,-1.155733,9.334401,47.578125,20.812500,6.656250
14167,0.000000,-1.780260,9.410971,14.671875,5.062500,6.046875
14250,0.311067,-2.000400,9.633504,-29.843750,-19.578125,-4.546875
14333,0.256032,-1.835295,9.994820,-58.265625,-27.765625,-13.078125
14417,-0.157926,-1.332802,10.427921,-50.109375,-8.968750,-10.859375
14500,-0.504886,-1.701297,11.279766,-72.671875,27.109375,-14.125000
14583,-0.220140,-0.399601,9.798609,42.750000,16.421875,12.234375
14667,0.141177,-0.552742,9.257831,62.281250,-4.734375,10.703125
14750,0.244068,-1.282553,9.595219,31.468750,-20.421875,-2.015625
14833,0.002393,-2.225325,10.636096,-30.890625,-12.203125,-11.328125
14917,-0.380459,-2.498107,11.471192,-77.687500,11.453125,-13.390625
15000,-0.392423,-0.734597,10.411171,-7.343750,15.562500,0.625000
15083,0.016750,-1.627119,10.432707,1.671875,-26.500000,11.484375
15167,-0.229711,-1.272982,11.870793,-13.625000,-19.390625,-7.937500
15250,0.057428,-1.021735,11.200803,8.843750,-28.562500,-2.343750
15333,-0.011964,-1.445265,10.686346,-3.609375,-12.921875,-2.062500
15417,-0.430708,-1.287339,11.490334,-4.406250,14.328125,-1.625000
15500,0.129212,-1.538585,10.394421,-21.687500,-14.031250,-7.906250
15583,-0.289532,-1.359123,11.296515,-4.406250,26.890625,-1.843750
15667,0.296710,-1.038485,9.145368,-4.218750,-24.859375,-9.609375
15750,-0.069392,-0.538385,9.035298,26.593750,-9.343750,-10.390625
15833,-0.279960,-1.536192,10.999805,-3.875000,14.328125,-1.625000
15917,-0.318245,-0.545564,9.205189,50.437500,13.812500,-3.281250
16000,-0.175872,-1.576872,8.248058,41.421862,40.507851,1.835945
16083,-0.033500,-2.608177,7.290930,32.406250,67.203125,6.953125
16167,0.277567,-3.249453,7.015756,-56.187500,43.734375,10.828125
16250,0.162712,-2.567499,7.946564,-89.968750,32.328125,9.390625
16333,0.043071,-1.045663,8.743374,-51.515625,19.750000,11.718750
16417,0.217747,-0.069392,8.863015,17.656250,-8.437500,13.265625
16500,0.358923,0.122034,8.618947,63.343750,-38.906250,0.265625
16583,0.160319,-0.512064,8.776873,57.937500,-42.156250,-19.078125
16667,-0.244068,-1.612762,9.394222,15.421875,-12.750000,-24.046875
16750,-0.543171,-2.330609,10.028320,-32.437500,31.515625,-20.093750
16833,-0.567099,-2.057827,10.595418,-43.953125,55.078125,-12.109375
16917,-0.064606,-1.179662,10.212567,-11.765625,34.484375,4.984375
17000,0.401994,-0.875773,9.585647,16.890625,-6.093750,17.906250
17083,0.076570,-0.842274,10.045069,-67.078125,-23.281250,-14.875000
17167,-0.069392,0.045464,10.016355,61.984375,3.984375,1.734375
17250,-0.370888,1.272982,9.944571,163.859375,29.296875,16.593750
17333,-0.421137,0.629312,10.186246,155.234375,37.718750,20.171875
17417,0.210568,-2.500500,9.899107,-117.781250,-24.328125,-33.562500
17500,0.148355,-3.591627,10.219745,-118.984375,-32.843750,-28.234375
17583,0.729811,-3.378666,9.913464,-172.046875,-77.625000,-33.156250
17667,0.253639,-0.729811,10.356136,-85.796875,-68.265625,-23.953125
17750,-0.703490,1.746760,10.681560,56.609375,-5.640625,-27.421875
17833,-0.973879,1.658226,10.291530,138.218750,61.734375,-26.828125
17917,-0.629312,-0.591027,8.965906,118.875000,86.640625,-9.718750
18000,-0.239282,-1.569692,10.480563,155.234375,37.718750,20.171875
18083,0.387637,-0.241675,9.212367,-87.156250,-18.000000,-10.765625
18167,-0.401994,0.641276,9.901500,116.531250,-2.093750,-7.484375
18250,-0.423530,-1.349552,10.281959,123.296875,24.968750,0.687500
18333,-0.098106,-2.914458,10.073783,55.718750,29.078125,10.656250
18417,0.028714,1.198804,9.238688,28.171875,-23.109375,-7.234375
18500,0.418744,-2.478964,9.853643,-89.843750,-19.703125,13.093750
18583,-0.088534,-0.557528,10.272387,-62.671875,-19.703125,7.281250
18667,-0.483350,0.892523,10.305887,23.187500,2.843750,-1.078125
18750,-0.160319,-0.717847,9.607183,88.703125,23.546875,0.109375
18833,0.009571,-1.686940,9.286545,-21.515625,-1.312500,-16.343750
18917,0.174676,-2.868994,9.188439,-117.781250,-24.328125,-33.562500
19000,0.318245,-3.321238,9.774680,-36.453125,5.796875,13.531250
19083,-0.528814,0.244068,9.513863,95.796875,49.750000,3.796875
19167,0.626920,-2.490928,7.980063,16.671875,1.234375,9.359375
19250,0.689133,-3.256632,8.547162,-67.906250,-23.531250,10.609375
19333,-0.083749,-2.586641,9.765109,-103.578125,-6.765625,3.750000
19417,-0.660419,-0.973879,10.231709,-72.796875,24.750000,-6.843750
19500,0.732204,-0.406780,8.563912,107.281250,-52.484375,18.156250
19583,0.296710,0.021535,8.441878,58.843750,-12.500000,7.859375
19667,0.117248,-1.136591,10.516455,96.265625,-50.250000,11.578125
19750,-0.887737,-3.110669,12.602997,3.937500,-11.843750,-4.875000
19833,-0.490529,-3.483950,11.834901,-107.140625,15.171875,-17.812500
19917,-0.143569,-3.024528,11.004591,-147.093750,4.812500,-19.187500
20000,-0.464208,0.119641,9.667003,-7.984375,27.203125,-5.609375
20083,-0.066999,-1.512264,9.250652,-169.250000,12.984375,-2.359375
20167,-0.174676,-4.740182,10.798808,-30.875000,1.921875,13.875000
20250,0.208176,0.815953,8.652447,-61.312500,-5.015625,2.359375
20333,0.150748,1.545763,9.248259,80.406250,-13.468750,11.890625
20417,-0.198604,-3.938586,10.013963,-155.828125,13.812500,8.703125
20500,-0.349352,-2.088934,10.552348,100.515625,11.531250,-5.046875
20583,0.112463,-3.512664,9.882357,-13.250000,-4.125000,-13.609375
20667,0.552742,-3.527021,9.439685,-111.296875,-38.656250,-6.906250
20750,-0.172283,-0.715454,10.442278,-125.468750,-45.890625,8.203125
20833,-0.847059,1.261018,10.633704,64.265625,43.640625,-1.156250
20917,-0.267996,0.196211,10.279566,148.562500,-1.546875,7.828125
21000,-0.808774,1.086341,10.045069,120.515625,72.125000,-3.015625
21083,-0.071785,0.090927,9.178867,10.750000,-10.718750,-5.109375
21167,0.004786,-0.205783,9.198010,67.062500,-3.296875,2.500000
21250,-0.016750,-0.598206,9.832108,100.984375,4.234375,6.437500
21333,-0.083749,-1.454836,10.334601,90.421875,12.093750,8.500000
21417,-0.162712,-3.081956,10.045069,-79.796875,30.015625,3.171875
21500,-0.114855,-3.077170,9.217153,-146.156250,23.859375,-3.015625
21583,0.119641,-1.964507,8.362915,-127.515625,0.875000,3.281250
21667,0.253639,-0.272782,8.300702,-20.015625,-20.890625,14.593750
21750,0.157926,1.404587,9.116654,111.781250,-27.750000,9.453125
21833,-0.205783,0.129212,11.105090,173.984375,-18.921875,-0.921875
21917,-0.232104,-2.876173,11.473584,115.031250,-7.390625,4.828125
22000,-0.256032,-1.721636,10.675578,83.859375,-15.968750,-1.679688
22083,-0.279960,-0.567099,9.877572,52.687500,-24.546875,-8.187500
22167,-0.358923,-1.495514,10.224531,53.890625,-1.328125,9.750000
22250,-0.315853,-2.538785,10.705488,8.078125,17.578125,22.953125
22333,-0.145962,-2.713461,10.798808,-63.343750,20.250000,16.359375
22417,0.260818,-2.060220,10.150353,-101.375000,1.109375,8.031250
22500,0.064606,-1.844866,9.985249,-83.359375,-11.718750,2.000000
22583,-0.105284,0.557528,9.401400,10.109375,-19.062500,1.156250
