t_ms,ax,ay,az,gx,gy,gz
5417,0.189033,-2.469393,9.516256,-63.375000,-5.890625,-7.250000
5500,-0.375673,-1.402194,10.577409,56.171875,31.921875,1.187500
5583,0.418744,-2.088934,9.405355,-65.562500,-17.687500,-4.750000
5667,0.334995,-2.074577,10.599519,26.750000,-4.921875,-23.703125
5750,0.392423,-2.084148,11.130806,16.546875,-20.906250,-27.140625
5833,-0.114855,-2.507678,11.798481,4.343750,-5.437500,-10.656250
5917,-0.186640,-2.727818,10.791808,-47.656250,12.125000,9.343750
6000,-0.160319,-1.969293,10.591977,42.281250,24.203125,-8.671875
6083,-0.062213,-2.830709,10.154914,-5.109375,16.734375,58.906250
6167,-0.337388,-0.746561,9.749316,38.906250,-23.718750,4.062500
6250,-0.165105,-1.406980,9.926026,49.859375,-7.843750,23.250000
6333,-0.050249,-1.885544,10.089212,49.859375,-7.843750,23.250000
6417,0.064606,-2.682354,10.274378,31.593750,4.468750,47.453125
6500,-0.050249,-0.914058,9.985399,1.531250,-39.656250,-2.968750
6583,-0.284746,-2.242075,9.657139,-40.203125,28.687500,46.218750
6667,0.066999,-0.768096,9.098867,-20.921875,15.296875,1.609375
6750,0.299103,-0.445065,9.474597,38.234375,-5.531250,-2.656250
6833,0.117248,-0.902094,10.061519,86.671875,-13.343750,0.203125
6917,-0.193819,-2.146362,10.489651,78.406250,-3.468750,0.984375
7000,-0.284746,-3.168097,10.512273,-60.562500,19.734375,-9.437500
7083,0.368495,-3.802195,9.017860,-104.968750,-28.031250,-14.046875
7167,-0.497707,-2.593820,9.258046,-160.265625,39.843750,-5.171875
7250,-0.416351,-1.150948,8.649531,-89.875000,51.500000,0.671875
7333,0.076570,-0.028714,7.763063,4.000000,28.687500,3.234375
7417,0.545564,0.368495,7.429264,83.093750,-5.718750,0.140625
7500,-0.196211,-3.661019,9.333582,-171.015625,2.718750,-12.343750
7583,-0.107677,-1.674976,9.573376,84.140625,-7.656250,-0.796875
7667,-0.454636,-3.263810,11.444026,5.671875,6.109375,0.281250
7750,-0.205783,-3.991228,12.494383,-66.500000,-1.921875,-6.828125
7833,0.392423,-3.170490,12.075761,-81.875000,-27.109375,-10.765625
7917,0.478565,-1.768296,10.865572,-46.906250,-43.937500,-6.125000
8000,0.471386,-0.165105,8.008946,114.640625,-19.875000,-3.515625
