t_ms,ax,ay,az,gx,gy,gz
0,-0.457029,-1.112663,11.631511,-13.953125,10.937500,7.093750
83,-0.457029,-1.112663,11.631511,-13.953125,10.937500,7.093750
167,-0.311067,-1.347159,11.641082,-25.968750,20.984375,12.906250
250,0.145962,-1.210768,11.062019,-23.187500,9.734375,22.312500
333,0.279960,-0.753739,10.628918,-7.843750,-10.890625,22.750000
417,-0.495314,-0.954736,11.246266,-10.593750,22.859375,-5.078125
500,-0.363709,-1.706083,11.284551,-37.968750,20.968750,2.500000
583,0.212961,-1.629512,10.671989,-26.828125,-15.875000,14.968750
667,0.684347,-0.555135,10.377672,41.359375,-50.531250,24.984375
750,0.189033,0.509671,10.997413,106.562500,-42.828125,19.859375
833,-0.658026,-0.251246,11.892328,95.171875,-0.234375,13.437500
917,-0.224925,-0.394816,10.710274,7.921875,-19.062500,9.140625
1000,-0.236890,0.082552,9.908679,16.281250,-6.812500,-0.945312
1083,-0.248854,0.559920,9.107083,24.640625,5.437500,-11.031250
1167,-0.437887,-0.086142,8.884550,61.843750,33.203125,-6.125000
1250,0.303888,-1.411765,8.721838,14.921875,-3.468750,7.656250
1333,-0.110070,-1.306481,8.396415,60.093750,45.187500,2.984375
1417,0.342174,-1.418944,9.937392,-8.546875,-18.781250,2.468750
1500,-0.485743,-1.335195,12.294323,-26.968750,15.921875,5.718750
1583,-0.234497,-0.705883,11.382657,-7.984375,22.171875,8.984375
1667,0.258425,-0.600598,10.250852,14.140625,0.093750,15.312500
1750,0.208176,-1.155733,10.045069,9.453125,-36.453125,14.687500
1833,-0.318245,-1.349552,12.074183,-24.828125,-6.687500,2.390625
1917,-0.256032,-1.076770,10.961520,0.234375,-15.250000,7.984375
2000,-0.120838,-1.623529,10.671989,24.023403,-16.445311,-1.828111
2083,0.014357,-2.170290,10.382457,47.812500,-17.640625,-11.640625
2167,-0.040678,-3.203989,11.368300,-47.500000,-13.781250,-3.390625
2250,-0.133998,-3.211168,11.720045,-115.171875,-3.906250,-5.468750
2333,-0.311067,-1.923829,11.885150,-94.531250,1.546875,-9.984375
2417,-0.162712,0.057428,11.083554,-2.046875,-3.328125,-6.921875
2500,0.112463,1.076770,10.219745,85.359375,-10.875000,-1.781250
2583,0.141177,0.366102,10.246066,109.375000,-4.890625,-2.640625
2667,-0.224925,-1.081556,11.181660,56.046875,13.250000,-4.468750
2750,-0.380459,-2.555535,11.796615,-34.734375,22.078125,-4.187500
2833,-0.136391,-2.928815,11.339586,-97.328125,8.937500,-4.312500
2917,0.241675,-1.890330,10.234102,-94.890625,-11.593750,-7.000000
3000,0.272782,-0.373280,9.396614,-40.734375,-14.984375,-10.546875
3083,-0.136391,-2.471786,10.286744,-77.406250,3.953125,-18.890625
3167,-0.203390,-1.605584,10.585847,-108.796875,17.062500,-10.140625
3250,-0.138784,0.081356,10.741381,-60.328125,19.750000,0.359375
3333,0.055035,1.184447,10.959128,43.812500,4.921875,4.812500
3417,0.083749,0.303888,11.734402,99.828125,-29.546875,-25.625000
3500,0.126820,0.263210,8.824730,107.046875,-14.468750,-19.390625
3583,-0.131605,-3.464807,12.485748,2.312500,-29.250000,-29.296875
3667,-0.373280,-3.182454,12.193824,-121.234375,19.343750,-3.875000
3750,-0.392423,-1.258625,11.289337,-61.406250,32.781250,-2.125000
3833,-0.148355,0.610170,9.741181,34.359375,19.937500,-7.265625
3917,0.105284,1.194018,8.654839,103.140625,-1.796875,-15.265625
4000,0.023928,-1.789831,12.406785,99.828125,-29.546875,-25.625000
4083,-0.358923,0.038285,10.676774,8.640625,35.656250,-8.781250
4167,0.062213,-1.543371,10.521241,-79.093750,-36.765625,-17.390625
4250,-0.334995,-0.808774,10.971092,-77.671875,-16.421875,-15.421875
4333,-0.502493,-0.217747,10.951949,-44.265625,15.593750,-14.046875
4417,-0.021535,-0.172283,10.372886,55.921875,34.031250,-3.625000
4500,0.021535,-1.560120,9.872786,-4.015625,-4.328125,-17.828125
4583,0.315853,-1.983650,10.301101,9.859375,-10.187500,-11.859375
4667,-0.021535,-1.710868,10.633704,-28.562500,-21.015625,-10.625000
4750,-0.193819,-1.280160,10.727024,-22.859375,-11.328125,-3.140625
4833,-0.263210,-0.418744,10.619347,18.203125,3.000000,5.156250
4917,-0.069392,-0.112463,10.169496,57.421875,5.343750,6.109375
5000,0.043071,-0.547956,9.868000,53.281250,-1.375000,-4.890625
5083,-0.196211,-0.732204,10.449456,110.390625,22.609375,-9.109375
5167,0.028714,-1.962115,9.533005,64.609375,21.781250,-10.843750
5250,0.177069,-2.352145,9.001799,1.562500,8.234375,-5.453125
5333,0.057428,-2.110470,9.494720,-50.109375,-4.359375,2.734375
5417,-0.069392,-1.670190,10.597811,-79.531250,-20.968750,12.593750
5500,0.028714,-0.976272,11.425728,-79.531250,-20.968750,12.593750
5583,-0.275175,0.679562,12.011969,104.062500,16.656250,9.312500
5667,-0.571885,0.033500,12.143575,93.765625,29.812500,7.812500
5750,-0.270389,-1.397408,11.404193,30.140625,7.781250,-1.015625
5833,0.289532,-2.237289,10.322637,-39.750000,7.781250,-1.015625
5917,0.435494,-2.100898,10.025927,-39.750000,-25.796875,-13.656250
6000,0.098106,0.033500,11.679367,-33.078125,-26.375000,11.843750
6083,0.177069,-3.663411,10.336994,-103.031250,0.296875,-2.546875
6167,-0.313460,-2.483750,10.454242,-131.875000,20.406250,-4.703125
6250,-0.476172,-0.591027,10.748559,-66.921875,27.828125,-3.671875
6333,-0.026321,0.966700,10.901700,42.953125,-2.234375,0.203125
6417,0.693919,0.294317,11.368300,115.640625,-46.859375,-1.437500
6500,-0.658026,-3.285345,10.990234,-96.468750,16.281250,-5.296875
6583,-0.160319,0.667598,10.547562,98.031250,10.921875,-1.093750
6667,0.136391,0.988236,9.822537,15.812500,4.640625,1.468750
