t_ms,ax,ay,az,gx,gy,gz
7333,0.076570,-0.028714,7.819744,4.000000,28.687500,3.234375
7417,0.545564,0.368495,7.429714,83.093750,-5.718750,0.140625
7500,-0.196211,-3.661019,8.585447,-171.015625,2.718750,-12.343750
7583,-0.107677,-1.674976,9.425328,84.140625,-7.656250,-0.796875
7667,-0.454636,-3.263810,10.961520,5.671875,6.109375,0.281250
7750,-0.205783,-3.991228,11.839686,-66.500000,-1.921875,-6.828125
7833,0.392423,-3.170490,11.645868,-81.875000,-27.109375,-10.765625
7917,0.478565,-1.768296,10.717452,-46.906250,-43.937500,-6.125000
8000,0.471386,-0.165105,7.996813,114.640625,-19.875000,-3.515625
8083,0.902094,-1.000200,8.973085,-99.625000,-34.140625,-22.390625
8167,0.868595,0.358923,8.255238,22.515625,-78.062500,-5.953125
8250,-0.270389,0.433101,9.260223,123.515625,-59.765625,-1.875000
8333,-0.918844,-0.806381,10.482956,148.781250,-5.328125,-0.625000
8417,-0.653241,-2.909672,10.731809,84.781250,30.515625,5.078125
8500,0.401994,-4.118048,9.664610,-25.156250,20.437500,-0.703125
8583,0.334995,-2.105684,9.683753,-93.515625,-21.953125,-15.484375
8667,-0.502493,0.358923,10.236495,-7.375000,0.609375,-15.000000
8750,-0.356531,0.241675,9.992427,94.359375,28.921875,-10.859375
8833,0.275175,-1.344766,9.243474,145.562500,30.796875,1.859375
8917,0.650848,-3.036492,8.401200,9.312500,-28.046875,-4.203125
9000,0.600598,-3.747160,9.461221,-103.234375,-11.531250,-12.093750
9083,-0.667598,-2.845066,10.372886,-133.937500,-24.468750,-26.046875
9167,1.028914,-2.591427,11.085947,186.562500,7.250000,16.406250
9250,-0.220140,-4.795216,10.384850,-31.671875,-58.578125,-25.734375
9333,-0.145962,0.129212,9.396614,-53.250000,21.875000,-21.218750
9417,-0.356531,0.698704,13.117453,130.656250,57.343750,16.015625
9500,0.153141,-2.048256,11.559726,127.890625,7.046875,12.859375
9583,-0.516850,-4.711468,12.787244,-9.078125,48.500000,12.984375
9667,-0.765703,-5.450850,12.693924,-141.937500,74.140625,-2.281250
9750,-0.193819,-3.555734,11.114661,-173.546875,39.328125,-24.390625
9833,0.428315,0.270389,9.985249,162.140625,-7.703125,6.578125
