t,ax,ay,az,gx,gy,gz
0.000000,-0.066689789,0.062570184,9.909751892,0.000376702,0.000873711,0.000169299
0.041000,-0.057107870,0.052988268,9.909751892,-0.000697966,-0.000204859,0.000174126
0.060000,-0.076271698,0.043406360,9.904960632,-0.000702807,-0.000220588,0.000174165
0.080000,-0.119390309,0.067361146,9.895379066,0.000362552,0.000836242,0.000171843
0.121000,-0.033153087,0.052988268,9.900169373,0.000368487,-0.000245742,0.000163179
0.161000,-0.081062660,0.043406360,9.890587807,0.000373782,0.000811154,0.000157836
0.180000,-0.105017439,0.057779230,9.904960632,-0.000685059,-0.000262524,0.000152313
0.220000,-0.052316912,0.052988268,9.895379066,-0.000661481,-0.000288783,0.000135668
0.241000,-0.061898828,0.033824444,9.909751892,-0.000661481,-0.000288783,0.000135668
0.262000,-0.061898828,0.048197314,9.900169373,-0.000642926,-0.000304559,0.000125251
0.282000,-0.100226484,0.081734017,9.909751892,-0.000642926,-0.000304559,0.000125251
0.321000,-0.085853614,0.048197314,9.914543152,0.000451867,-0.000321190,-0.000953706
0.342000,-0.028362129,0.038615398,9.890587807,0.000451867,-0.000321190,-0.000953706
0.362000,-0.042734999,0.043406360,9.904960632,-0.000602725,-0.000324381,0.000107755
0.382000,-0.095435530,0.057779230,9.895379066,-0.000591699,0.000739205,0.001170124
0.423000,-0.057107870,0.048197314,9.900169373,-0.000557324,-0.000323107,0.000100900
0.442000,-0.042734999,0.038615398,9.904960632,0.000518156,-0.000320517,0.000099803
0.463000,-0.071480744,0.043406360,9.904960632,0.000518156,-0.000320517,0.000099803
0.504000,-0.100226484,0.067361146,9.900169373,-0.000523098,0.000756361,0.000096400
0.542000,-0.076271698,0.057779230,9.895379066,0.000553109,-0.000298667,0.000094214
0.564000,-0.047525957,0.043406360,9.900169373,-0.000508614,-0.000293456,0.000093183
0.604000,-0.076271698,0.052988268,9.909751892,-0.000506766,-0.000288547,0.000092205
0.644000,-0.061898828,0.057779230,9.904960632,0.000558398,-0.000278970,0.000090271
0.684000,-0.071480744,0.043406360,9.904960632,-0.000509399,-0.000268743,0.000087062
0.710000,-0.081062660,0.062570184,9.904960632,-0.000510780,-0.000263103,0.000084889
0.743000,-0.100226484,0.062570184,9.904960632,0.000553095,-0.000250713,-0.000985415
0.764000,-0.047525957,0.033824444,9.900169373,0.000553095,-0.000250713,-0.000985415
0.785000,-0.052316912,0.043406360,9.904960632,-0.000511462,-0.000231538,0.000071555
0.805000,-0.071480744,0.052988268,9.909751892,-0.000511462,-0.000231538,0.000071555
0.824000,-0.081062660,0.057779230,9.900169373,-0.000511248,-0.000225892,-0.000996460
0.864000,-0.066689789,0.043406360,9.900169373,0.000554348,-0.000220978,0.000066273
0.886000,-0.061898828,0.048197314,9.909751892,-0.000506426,-0.000209988,0.000060391
0.924000,-0.076271698,0.067361146,9.909751892,-0.000506426,-0.000209988,0.000060391
0.944000,-0.119390309,0.076943055,9.900169373,0.000565339,0.000864516,0.000058228
0.964000,-0.105017439,0.057779230,9.909751892,-0.000497191,-0.000197889,-0.001006807
0.986000,-0.052316912,0.048197314,9.895379066,-0.000494336,-0.000195405,0.000059188
1.006000,-0.047525957,0.043406360,9.904960632,-0.000494336,-0.000195405,0.000059188
1.045000,-0.076271698,0.043406360,9.900169373,0.000582973,-0.000188551,0.000065593
1.066000,-0.076271698,0.062570184,9.900169373,0.000588095,-0.000185880,0.000068811
1.086000,-0.066689789,0.052988268,9.904960632,0.000588095,-0.000185880,0.000068811
1.106000,-0.057107870,0.038615398,9.895379066,0.000593584,-0.000182804,-0.000992905
1.126000,-0.052316912,0.043406360,9.900169373,-0.000466425,-0.000179434,0.000076285
1.146000,-0.085853614,0.072152101,9.909751892,-0.000458062,-0.000172185,0.000085837
1.166000,-0.128972232,0.091315925,9.895379066,-0.000458062,-0.000172185,0.000085837
1.208000,-0.047525957,0.033824444,9.904960632,-0.000451175,-0.000164756,-0.000968254
1.246000,-0.071480744,0.052988268,9.904960632,0.000622268,-0.000154211,0.000116376
1.267000,-0.081062660,0.048197314,9.909751892,0.000622268,-0.000154211,0.000116376
1.307000,-0.071480744,0.052988268,9.904960632,-0.000440720,-0.000147819,0.000130119
1.346000,-0.057107870,0.043406360,9.904960632,0.000624109,0.000928483,0.001211714
1.367000,-0.095435530,0.057779230,9.904960632,0.000624109,0.000928483,0.001211714
1.386000,-0.133763179,0.076943055,9.904960632,0.000623251,-0.000132915,0.000149869
1.406000,-0.081062660,0.052988268,9.900169373,-0.000443116,-0.000129451,0.000151950
1.426000,-0.028362129,0.038615398,9.904960632,0.000620853,0.000938738,0.000152729
1.466000,-0.085853614,0.052988268,9.895379066,0.000617297,-0.000122857,0.000151165
1.487000,-0.081062660,0.043406360,9.914543152,-0.000452250,-0.000121931,0.000146425
1.527000,-0.061898828,0.062570184,9.904960632,0.000610486,-0.000121770,0.000142779
1.547000,-0.052316912,0.038615398,9.895379066,0.000604168,-0.000121029,0.000133126
1.568000,-0.076271698,0.048197314,9.904960632,0.000600146,-0.000120059,0.000127505
1.609000,-0.114599362,0.062570184,9.900169373,-0.000469769,0.000946520,0.000121570
1.648000,-0.028362129,0.029033486,9.900169373,-0.000484068,-0.000115429,0.000101319
1.669000,-0.061898828,0.043406360,9.900169373,-0.000484068,-0.000115429,0.000101319
1.688000,-0.090644568,0.052988268,9.900169373,-0.000492059,0.000948912,0.000086152
1.708000,-0.085853614,0.052988268,9.909751892,-0.000492059,0.000948912,0.000086152
1.728000,-0.066689789,0.057779230,9.900169373,0.000566581,-0.000120601,0.000070217
1.770000,-0.052316912,0.048197314,9.904960632,-0.000503841,-0.000128342,0.001118469
1.790000,-0.090644568,0.067361146,9.895379066,-0.000503841,-0.000128342,0.001118469
1.809000,-0.133763179,0.081734017,9.904960632,0.000559813,-0.000133106,0.000044485
1.830000,-0.095435530,0.052988268,9.904960632,-0.000507306,-0.000143640,-0.001039098
1.850000,-0.028362129,0.024242528,9.895379066,-0.000508566,-0.000149156,0.000016924
1.890000,-0.081062660,0.057779230,9.890587807,0.000555141,-0.000154544,0.000008324
1.910000,-0.095435530,0.062570184,9.909751892,0.000553666,-0.000159440,0.000000849
1.931000,-0.071480744,0.048197314,9.895379066,0.000550837,-0.000167362,-0.000010598
1.971000,-0.061898828,0.048197314,9.895379066,0.000549365,-0.000170474,-0.000014777
2.011000,-0.100226484,0.072152101,9.909751892,-0.000519262,-0.000175224,-0.000020555
2.050000,-0.071480744,0.043406360,9.895379066,-0.000521869,-0.000178301,-0.000023519
2.070000,-0.033153087,0.048197314,9.900169373,0.000542867,-0.000180044,-0.000024200
2.090000,-0.052316912,0.067361146,9.900169373,0.000542867,-0.000180044,-0.000024200
2.131000,-0.076271698,0.029033486,9.904960632,-0.000518226,0.000885190,-0.000019535
2.151000,-0.071480744,0.057779230,9.904960632,0.000548823,-0.000178873,-0.000016731
2.191000,-0.057107870,0.043406360,9.900169373,-0.000514249,-0.000174960,-0.001075293
2.230000,-0.114599362,0.072152101,9.900169373,0.000551091,-0.000172306,-0.000006188
2.251000,-0.105017439,0.096106887,9.900169373,-0.000514529,-0.000168981,-0.001067068
2.291000,-0.047525957,0.029033486,9.895379066,0.000549703,-0.000155632,0.000014891
2.331000,-0.066689789,0.052988268,9.895379066,-0.000516245,-0.000150550,0.000022260
2.352000,-0.076271698,0.081734017,9.909751892,0.000547179,-0.000140127,0.000040142
2.391000,-0.066689789,0.038615398,9.904960632,0.000545376,-0.000129914,0.000060110
2.413000,-0.052316912,0.048197314,9.900169373,-0.000519888,-0.000129914,0.000060110
2.432000,-0.076271698,0.062570184,9.900169373,-0.000521229,-0.000125044,0.000070117
2.453000,-0.109808400,0.067361146,9.895379066,-0.000524456,0.000950022,0.000089485
2.493000,-0.052316912,0.038615398,9.900169373,-0.000525949,-0.000105399,0.000107347
2.532000,-0.061898828,0.067361146,9.909751892,-0.000524098,-0.000097455,0.000123208
2.553000,-0.057107870,0.052988268,9.895379066,-0.000522218,-0.000094674,-0.000934958
2.594000,-0.085853614,0.062570184,9.904960632,0.000548841,-0.000091780,0.000142775
2.634000,-0.033153087,0.033824444,9.900169373,0.000552750,-0.001156691,0.000148154
2.672000,-0.138554141,0.076943055,9.900169373,-0.000508453,-0.000091504,0.000152980
2.693000,-0.124181271,0.076943055,9.909751892,-0.000498052,-0.000087885,0.000164365
2.735000,-0.023571171,0.024242528,9.909751892,0.000570291,-0.000084708,0.000167067
2.773000,-0.076271698,0.048197314,9.904960632,0.000575475,0.000988859,-0.000895240
2.793000,-0.081062660,0.086524971,9.914543152,0.000578944,-0.000067283,0.000171452
2.813000,-0.081062660,0.091315925,9.900169373,0.000578944,-0.000067283,0.000171452
2.835000,-0.066689789,0.005078699,9.909751892,-0.000485442,-0.000063184,0.001237243
2.874000,-0.076271698,0.110479757,9.895379066,-0.000485159,-0.000056087,0.000171236
2.894000,-0.124181271,0.120061666,9.900169373,0.000579816,-0.000053073,0.001234541
2.934000,-0.047525957,0.000287743,9.904960632,0.000579932,-0.000048045,-0.000902994
2.954000,-0.004407343,0.062570184,9.895379066,0.000580705,-0.000045997,0.000157807
2.974000,-0.047525957,0.067361146,9.904960632,0.000581582,-0.000044233,0.000153484
3.014000,-0.114599362,0.048197314,9.900169373,-0.000484087,-0.000040731,0.000145991
3.035000,-0.066689789,0.048197314,9.909751892,0.000579086,-0.000038596,0.000143258
3.056000,-0.023571171,0.062570184,9.895379066,0.000575740,-0.000036096,0.000141362
3.095000,-0.133763179,0.062570184,9.895379066,-0.000499738,-0.000029351,0.000139500
3.116000,-0.148136050,0.062570184,9.904960632,-0.000506382,0.001040025,0.000138903
3.135000,-0.047525957,0.052988268,9.904960632,0.000552014,0.001044295,0.000138242
3.156000,-0.004407343,0.029033486,9.904960632,-0.000519741,-0.000017244,-0.000927724
3.194000,-0.119390309,0.057779230,9.933706284,0.000531227,-0.000015781,0.000137170
3.216000,-0.105017439,0.057779230,9.885796547,0.000531227,-0.000015781,0.000137170
3.236000,-0.057107870,0.052988268,9.919333458,0.000528275,-0.000018463,0.000137951
3.256000,-0.037944041,0.038615398,9.900169373,0.000523204,-0.000027018,0.000140313
3.277000,-0.047525957,0.033824444,9.900169373,-0.000544793,-0.000032281,0.000141170
3.316000,-0.133763179,0.091315925,9.900169373,-0.000547676,-0.000037606,0.000141233
3.336000,-0.114599362,0.086524971,9.909751892,-0.000550180,0.001022509,0.000140477
3.377000,-0.023571171,0.024242528,9.904960632,-0.000552699,-0.000052934,0.000137810
3.416000,-0.095435530,0.057779230,9.895379066,0.000514755,-0.000066409,0.000134741
3.438000,-0.085853614,0.052988268,9.904960632,0.000514755,-0.000066409,0.000134741
3.457000,-0.071480744,0.038615398,9.909751892,-0.000544553,-0.000073425,0.000132937
3.477000,-0.052316912,0.043406360,9.900169373,-0.000544553,-0.000073425,0.000132937
3.497000,-0.047525957,0.052988268,9.904960632,-0.000534037,-0.000078967,0.001194385
3.537000,-0.138554141,0.091315925,9.895379066,0.000538375,0.000984032,0.001191305
3.577000,-0.033153087,0.033824444,9.900169373,0.000555137,-0.000085593,0.000115890
3.598000,-0.037944041,0.038615398,9.904960632,0.000564101,-0.000088091,0.000109246
3.639000,-0.081062660,0.052988268,9.900169373,-0.000478050,-0.000096184,0.000087035
3.678000,-0.061898828,0.043406360,9.904960632,0.000593529,-0.000098407,0.000079250
3.699000,-0.061898828,0.048197314,9.904960632,-0.000461130,-0.000101262,0.000062675
3.738000,-0.109808400,0.062570184,9.904960632,0.000607745,0.000963241,0.000054079
3.779000,-0.071480744,0.052988268,9.904960632,0.000612520,-0.000103239,-0.001028097
3.799000,-0.018780213,0.043406360,9.900169373,-0.000450239,-0.000105265,0.000023570
3.839000,-0.095435530,0.052988268,9.909751892,-0.000449461,-0.000107725,0.000016501
3.860000,-0.081062660,0.052988268,9.904960632,-0.000449568,-0.000108716,0.000015230
3.880000,-0.047525957,0.048197314,9.904960632,-0.000449568,-0.000108716,0.000015230
3.900000,-0.052316912,0.043406360,9.904960632,-0.000449934,-0.000109668,0.000015178
3.940000,-0.076271698,0.057779230,9.895379066,0.000613281,-0.000113045,0.000020441
3.960000,-0.100226484,0.076943055,9.904960632,-0.000452522,0.000951016,0.000023459
3.981000,-0.114599362,0.076943055,9.895379066,0.000612209,0.000949658,-0.001038385
4.020000,-0.028362129,0.038615398,9.900169373,-0.000453726,-0.000117534,-0.001034524
4.040000,-0.052316912,0.043406360,9.900169373,0.000610758,-0.000120375,0.000035528
4.079000,-0.085853614,0.048197314,9.909751892,-0.000456322,0.000933704,-0.001005818
4.100000,-0.061898828,0.048197314,9.895379066,-0.000456322,0.000933704,-0.001005818
4.121000,-0.061898828,0.043406360,9.904960632,-0.000455437,-0.000135464,-0.000995623
4.161000,-0.076271698,0.062570184,9.909751892,-0.000449849,-0.000143721,0.000093250
4.200000,-0.114599362,0.072152101,9.900169373,0.000623510,0.000912624,0.000120521
4.222000,-0.052316912,0.043406360,9.904960632,0.000632114,-0.000162831,0.000149198
4.260000,-0.066689789,0.043406360,9.900169373,0.000635938,-0.000168484,0.000163904
4.280000,-0.090644568,0.038615398,9.904960632,0.000642061,-0.000179212,0.000192830
4.301000,-0.071480744,0.038615398,9.904960632,-0.000420530,-0.000184053,0.000206098
4.320000,-0.047525957,0.043406360,9.900169373,-0.000420530,-0.000184053,0.000206098
4.341000,-0.052316912,0.043406360,9.900169373,0.000648866,-0.000192625,0.000228652
4.381000,-0.100226484,0.076943055,9.904960632,-0.000414755,0.000865547,0.000245894
4.402000,-0.128972232,0.096106887,9.895379066,-0.000414755,0.000865547,0.000245894
4.441000,-0.037944041,0.029033486,9.900169373,-0.000418782,-0.000209580,-0.000801819
4.461000,-0.042734999,0.048197314,9.900169373,-0.000421890,-0.000213129,0.000268087
4.501000,-0.081062660,0.052988268,9.895379066,-0.000425323,-0.000216562,0.000272872
4.522000,-0.071480744,0.043406360,9.904960632,0.000636438,0.000845877,0.000277708
4.541000,-0.066689789,0.048197314,9.914543152,0.000632929,0.000844066,0.000282055
4.561000,-0.066689789,0.052988268,9.904960632,-0.000439329,-0.000222790,0.000287893
4.581000,-0.061898828,0.043406360,9.900169373,-0.000443171,-0.000223658,0.000289459
4.601000,-0.085853614,0.057779230,9.904960632,0.000617890,-0.000224695,0.000290127
4.624000,-0.119390309,0.072152101,9.900169373,0.000617890,0.000840569,0.000290127
4.662000,-0.033153087,0.033824444,9.895379066,0.000602396,-0.000226341,0.000284302
4.684000,-0.042734999,0.038615398,9.895379066,0.000602396,-0.000226341,0.000284302
4.705000,-0.085853614,0.048197314,9.900169373,-0.000475324,-0.000226040,0.000276170
4.743000,-0.061898828,0.038615398,9.900169373,0.000577942,-0.000223401,0.000266386
4.783000,-0.090644568,0.067361146,9.900169373,-0.000495545,-0.001282428,0.000254424
4.803000,-0.076271698,0.052988268,9.895379066,-0.000497989,-0.000212728,0.000247520
4.824000,-0.085853614,0.062570184,9.904960632,-0.000497989,-0.000212728,0.000247520
4.844000,-0.105017439,0.067361146,9.900169373,0.000566113,-0.000207323,0.000240008
4.864000,-0.085853614,0.052988268,9.895379066,-0.000499221,-0.000201033,0.000232097
4.904000,-0.052316912,0.052988268,9.904960632,0.000569561,0.000886360,0.000207631
4.924000,-0.071480744,0.043406360,9.904960632,0.000569561,0.000886360,0.000207631
4.945000,-0.076271698,0.033824444,9.909751892,0.000571515,-0.000162454,-0.000873461
4.964000,-0.066689789,0.043406360,9.909751892,0.000571515,-0.000162454,-0.000873461
5.004000,-0.071480744,0.062570184,9.904960632,-0.000496101,-0.000139351,0.000167641
5.025000,-0.066689789,0.048197314,9.904960632,-0.000499140,-0.000132410,0.000159675
5.045000,-0.095435530,0.062570184,9.900169373,-0.000499140,-0.000132410,0.000159675
5.066000,-0.109808400,0.067361146,9.904960632,-0.000506858,-0.000118994,0.000144478
5.104000,-0.037944041,0.038615398,9.904960632,-0.000510357,0.000953503,0.000137383
5.125000,-0.061898828,0.038615398,9.900169373,0.000548937,-0.000096314,0.000124423
5.145000,-0.076271698,0.062570184,9.900169373,-0.000518813,-0.000088720,0.000118611
5.165000,-0.081062660,0.062570184,9.900169373,-0.000520786,-0.000081233,0.000113107
5.185000,-0.071480744,0.052988268,9.904960632,0.000543115,-0.000073789,0.000107633
5.205000,-0.061898828,0.038615398,9.904960632,0.000542593,-0.000066490,0.000102111
5.226000,-0.052316912,0.048197314,9.900169373,0.000542781,-0.000059417,0.000096625
5.245000,-0.066689789,0.062570184,9.904960632,0.000543100,-0.000052790,0.000091251
5.265000,-0.114599362,0.076943055,9.895379066,0.000543062,0.001018324,0.000086048
5.286000,-0.114599362,0.057779230,9.904960632,0.000542417,-0.000042131,-0.000984200
5.305000,-0.047525957,0.038615398,9.904960632,-0.000524451,0.001026535,0.000076487
5.347000,-0.066689789,0.057779230,9.904960632,0.000534119,-0.000037630,0.000069578
5.386000,-0.071480744,0.043406360,9.904960632,0.000524710,-0.000043755,0.000065713
